City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,saint-pierre,-21.3393,55.4781,24.2,83,100,2.06,RE,1682461543
285,meulaboh,4.1363,96.1285,25.02,89,79,1.46,ID,1682461880
286,portland,45.5234,-122.6762,19.89,50,20,3.09,US,1682461299
287,port lincoln,-34.7333,135.8667,21.26,52,100,7.1,AU,1682461881
288,hofn,64.2539,-15.2082,-0.08,66,98,0.9,IS,1682461687
289,harper,4.375,-7.7169,26.93,85,100,3.39,LR,1682461882
290,marabba,12.35,32.1833,27.7,58,84,9.33,SD,1682461883
291,port pirie,-33.1833,138.0167,22.81,41,100,5.88,AU,1682461884
292,torbay,47.6666,-52.7314,1.88,96,100,8.05,CA,1682461506
293,hambantota,6.1241,81.1185,26.6,85,100,2.21,LK,1682461885
294,tocopilla,-22.092,-70.1979,20.5,73,18,2.51,CL,1682461886
295,matai,-8.3,31.5167,14.58,98,7,2.05,TZ,1682461887
296,tando jam,25.4272,68.5362,29.07,33,100,6.4,PK,1682461887
297,kismayo,-0.3582,42.5454,27.37,79,100,3.07,SO,1682461888
298,borogontsy,62.6683,131.1683,-1.02,89,86,2.73,RU,1682461888
299,ahipara,-35.1667,173.1667,18.12,64,100,5.96,NZ,1682461531
300,novocheremshansk,54.3571,50.1666,11.78,89,100,5.22,RU,1682461890
301,pisco,-13.7,-76.2167,24.45,73,0,6.69,PE,1682461637
302,porto santo,33.072,-16.3415,18.21,82,20,3.6,PT,1682461891
303,balaipungut,1.05,101.2833,23.31,98,100,0.28,ID,1682461891
304,tessalit,20.1986,1.0114,28.72,12,0,3.79,ML,1682461892
305,eyl,7.9803,49.8164,27.6,80,38,3.47,SO,1682461892
306,pljevlja,43.3333,19.3333,6.18,96,98,0.88,ME,1682461893
307,sao joao da barra,-21.6403,-41.0511,24.05,86,4,3.39,BR,1682461893
308,saint-philippe,-21.3585,55.7679,23.77,84,13,1.28,RE,1682461491
309,kavaratti,10.5669,72.642,27.45,69,46,2.45,IN,1682461436
310,airai,-8.9266,125.4092,15.51,96,69,1.7,TL,1682461531
311,dutlwe,-23.9833,23.9,19.52,50,5,2.97,BW,1682461896
312,remontnoye,46.5614,43.6501,8.83,90,2,3.83,RU,1682461897
313,goderich,43.7501,-81.7165,6.62,52,21,2.06,CA,1682461897
314,omboue,-1.5746,9.2618,24.42,90,100,1.06,GA,1682461898
315,srednekolymsk,67.45,153.6833,-2.05,95,100,1.75,RU,1682461898
316,taoudenni,22.6783,-3.9836,30.42,12,3,5.08,ML,1682461899
317,coruripe,-10.1256,-36.1756,24.6,87,90,2.52,BR,1682461899
318,sandakan,5.8402,118.1179,25.82,94,20,1.03,MY,1682461900
319,ercis,39.0287,43.3586,7.22,68,7,0.64,TR,1682461900
320,port macquarie,-31.4333,152.9167,17.16,62,95,2.42,AU,1682461901
321,jiuquan,39.7432,98.5174,8.6,40,73,1.13,CN,1682461902
322,sakakah,29.9697,40.2064,21.76,16,13,4.0,SA,1682461902
323,breves,-1.6822,-50.4803,23.84,95,55,0.96,BR,1682461837
324,mumford,5.2618,-0.759,27.74,84,97,4.73,GH,1682461904
325,vila franca do campo,37.7167,-25.4333,17.23,94,70,2.68,PT,1682461905
326,pevek,69.7008,170.3133,-11.57,83,11,1.24,RU,1682461450
